섬코드,섬이름,시군구,confidence,geom_source,area_km2,섬이름_c,cluster,bottleneck_type,Y_time_emergency,sea_leg_min,land_leg_emergency_min,dist_main_km,인구밀도(명/㎢),2024년 총인구,pop,cx,cy
468901008,원도,완도군,high,shp,0.36857693421155013,원도,1,혼합형,82.34044206485547,46.96744206485547,35.373000000000005,23.48372103242773,21.7,8,8,972110.6353750768,1580766.6925023282
468901009,장도(금일읍),완도군,high,shp,0.9554303585772761,장도(금일읍),1,해상지배형,81.83203044886493,50.03803044886492,31.794000000000004,25.01901522443246,9.4,9,9,969165.2243415996,1579281.2273246576
468901010,소랑도,완도군,high,shp,0.7753757108351854,소랑도,0,혼합형,47.77435045653328,25.65985045653328,22.1145,12.82992522826664,129.8,101,101,961807.0049655426,1592540.9962928519
468901011,섭도,완도군,high,shp,0.3677930625948714,섭도,0,혼합형,51.68322489548933,29.56872489548933,22.1145,14.784362447744664,8.2,3,3,965654.2967255065,1589965.9473124067
468901012,노화도,완도군,high,shp,25.032204704982796,노화도,1,육지지배형,82.74515286272043,22.84415286272043,59.901,11.422076431360216,152.9,3847,3847,915688.5304313488,1579205.7869023439
468901013,장사도,완도군,high,shp,0.27888169547721714,장사도,1,육지지배형,87.26286636492733,27.361866364927337,59.901,13.680933182463669,21.5,6,6,913518.7327301671,1575965.2975538867
468901014,노록도,완도군,high,shp,0.37640644335903,노록도,1,육지지배형,80.45645161729041,20.55545161729041,59.901,10.277725808645206,66.4,26,26,911766.2199291075,1579084.7294711715
468901015,마삭도,완도군,high,shp,0.1608919237690482,마삭도,1,육지지배형,72.8361691511781,12.935169151178094,59.901,6.467584575589047,103.0,17,17,913892.6772469612,1583905.7926016229
468901016,넙도(노화읍),완도군,high,shp,1.4809434969492226,넙도(노화읍),1,육지지배형,82.6929566060381,22.7919566060381,59.901,11.39597830301905,179.5,465,465,908131.4486589719,1578052.6761367589
468901017,대정원도,완도군,high,shp,0.0872833091173889,대정원도,1,육지지배형,78.83561946420554,18.511619464205527,60.324000000000005,9.255809732102763,34.4,3,3,901149.4612506195,1586329.3645301943
468901018,마안도,완도군,high,shp,0.09298636094167556,마안도,1,육지지배형,78.56185810788214,18.660858107882152,59.901,9.330429053941076,176.1,24,24,909039.52904032,1579998.423572904
