섬코드,섬이름,시군구,cluster,bottleneck_type,pop,Y_base,Y_S3,Y단축_S3
467701008,죽도,고흥군,0,육지지배형,60,43.6,43.6,0.0
467701007,연흥도,고흥군,0,육지지배형,74,27.9,27.9,0.0
468901003,충도,완도군,0,육지지배형,124,36.5,36.5,0.0
468901004,우도,완도군,0,혼합형,8,52.4,52.4,0.0
468901005,다랑도,완도군,0,혼합형,19,51.2,51.2,0.0
468901011,섭도,완도군,0,혼합형,3,51.7,51.7,0.0
469001024,슬도,진도군,0,혼합형,33,52.3,52.3,0.0
469001023,독거도,진도군,0,혼합형,30,53.6,53.6,0.0
469001022,죽항도,진도군,0,혼합형,46,55.6,55.6,0.0
469001021,소성남도,진도군,0,육지지배형,5,52.2,52.2,0.0
469001027,청등도,진도군,0,혼합형,25,61.4,61.4,0.0
469001026,혈도(독거도리),진도군,0,혼합형,12,60.2,60.2,0.0
468901036,넙도(고금면),완도군,0,육지지배형,29,54.2,54.2,0.0
468901038,조약도,완도군,0,육지지배형,2172,46.3,46.3,0.0
469001009,장도,진도군,0,육지지배형,3,39.6,39.6,0.0
469001008,죽도(임회면),진도군,0,육지지배형,6,33.7,33.7,0.0
469001007,하구자도,진도군,0,육지지배형,19,42.3,42.3,0.0
469001006,상구자도,진도군,0,육지지배형,22,41.3,41.3,0.0
469001005,접도,진도군,0,육지지배형,299,31.3,31.3,0.0
469001020,성남도,진도군,0,육지지배형,28,50.6,50.6,0.0
469001019,상조도,진도군,0,혼합형,299,58.9,58.9,0.0
468901007,신도,완도군,0,혼합형,31,40.3,40.3,0.0
469101013,황마도,신안군,0,육지지배형,7,46.8,46.8,0.0
469001010,관매도,진도군,1,혼합형,180,67.2,67.2,0.0
469001002,저도,진도군,0,육지지배형,35,25.0,25.0,0.0
469001001,진도,진도군,0,육지지배형,25242,10.0,10.0,0.0
469001004,모도(의신면),진도군,0,육지지배형,73,31.9,31.9,0.0
469101010,고이도,신안군,0,육지지배형,208,41.7,41.7,0.0
469101011,매화도,신안군,0,육지지배형,179,48.8,48.8,0.0
469001003,금호도,진도군,0,육지지배형,60,37.7,37.7,0.0
468001001,장재도,장흥군,0,육지지배형,7,19.1,19.1,0.0
